CC ID #,LIMS #,Package,Tests,CoA Due Date,Source Harvest(s),Source Package(s),Item,Category,Item Strain,Shipped Quantity,Gross Weight,Notes,THC Target,CBD Target,Unnamed: 15,Unnamed: 13,Unnamed: 14,CC ID  #,LIMS  #,Shipped Qty.,Gross Wgt.,Unnamed: 9
.14872,171747.0,1A4070300005C31000012260,"TERPS, DPM",2025-04-29,Cookie Kush Primary Harvest 6 26 Mar 2025,1A4070300005C31000012166,M00001184702: Cookie Kush Big Buds,Bulk Flower/Buds,Cookie Kush,28.62,,,-,-,,,,,,,,
.14873,171748.0,1A4070300005C31000012261,"TERPS, DPM",2025-04-29,Cookie Kush Primary Harvest 6 26 Mar 2025,1A4070300005C31000012167,M00001184703: Cookie Kush Small Buds,Bulk Flower/Buds,Cookie Kush,27.79,,,-,-,,,,,,,,
.14874,171749.0,1A4070300005C31000012262,"TERPS, DPM",2025-04-29,Slurri Crasher Primary Harvest 6 26 Mar 2025,1A4070300005C31000012168,M00001184847: Slurri Crasher Small Buds,Bulk Flower/Buds,Slurri Crasher,6.0,,,-,-,,,,,,,,
.14875,171750.0,1A4070300005C31000012263,"TERPS, DPM",2025-04-29,Cookie Kush Primary Harvest 6 26 Mar 2025,1A4070300005C31000012169,M00001184702: Cookie Kush Big Buds,Bulk Flower/Buds,Cookie Kush,25.7,,,-,-,,,,,,,,
.14876,171751.0,1A4070300005C31000012264,"TERPS, DPM",2025-04-29,Willie Wayne OG Primary Harvest 6 26 Mar 2025,1A4070300005C31000012170,M00001184686: Willie Wayne OG Small Buds,Bulk Flower/Buds,Willie Wayne OG,6.0,,,-,-,,,,,,,,
.14877,171752.0,1A4070300005C31000012265,"TERPS, DPM",2025-04-29,Cookie Kush Primary Harvest 6 26 Mar 2025,1A4070300005C31000012171,M00001184702: Cookie Kush Big Buds,Bulk Flower/Buds,Cookie Kush,25.73,,,-,-,,,,,,,,
.14878,171753.0,1A4070300005C31000012266,"TERPS, DPM",2025-04-29,Cookie Kush Primary Harvest 6 26 Mar 2025,1A4070300005C31000012172,M00001184702: Cookie Kush Big Buds,Bulk Flower/Buds,Cookie Kush,25.66,,,-,-,,,,,,,,
.14879,171754.0,1A4070300005C31000012267,"TERPS, DPM",2025-04-29,Jungle Fruit Primary Harvest 6 26 Mar 2025,1A4070300005C31000012173,M00001184628: Jungle Fruit Small Buds,Bulk Flower/Buds,Jungle Fruit,18.01,,,-,-,,,,,,,,
.14880,171755.0,1A4070300005C31000012268,"TERPS, DPM",2025-04-29,Jungle Fruit Primary Harvest 6 26 Mar 2025,1A4070300005C31000012174,M00001184627: Jungle Fruit Big Buds,Bulk Flower/Buds,Jungle Fruit,20.52,,,-,-,,,,,,,,
.14881,171756.0,1A4070300005C31000012269,"TERPS, DPM",2025-04-29,Jungle Fruit Primary Harvest 6 26 Mar 2025,1A4070300005C31000012175,M00001184627: Jungle Fruit Big Buds,Bulk Flower/Buds,Jungle Fruit,24.71,,,-,-,,,,,,,,
